"signalSystemId","x","y"
"274","425880.5149807792","5544682.881800314"
"276","420014.90883271385","5540607.290266582"
"278","423006.92205155606","5544352.886068447"
"280","425435.87457562215","5542294.056588871"
"282","425186.5481262549","5544902.047347736"
"284","407069.241102263","5551488.169125814"
"286","425859.7941168359","5546534.324333226"
"288","443763.4093201871","5544318.655521202"
"290","432199.6698459831","5546681.50910772"
"292","426263.7248255785","5542812.639781615"
"294","416872.0369439586","5551283.810041912"
"296","426509.3683408121","5542057.554801605"
"298","434270.0176069138","5546188.838490202"
"300","448585.1771418454","5537450.574278771"
"302","423289.6536326115","5542558.15321901"
"304","426820.3167365324","5546654.7480321815"
"306","423799.51844743785","5542457.777256546"
"308","421590.8550361452","5542172.273624723"
"310","428965.3484480973","5540243.672140258"
"312","429309.7526009904","5546796.374817064"
"314","444327.321342806","5543440.1373832"
"316","427803.0194617298","5543622.2198407315"
"318","431716.01154678495","5546823.8023145385"
"320","422025.2212640328","5537338.829873935"
"322","425049.99708431086","5548386.147685042"
"324","426744.5699516726","5541491.037076188"
"326","414524.8742018345","5553546.527379578"
"328","426079.853158696","5545827.76295456"
"330","416093.28892717214","5536295.348012289"
"332","426596.42621850857","5549027.9931157725"
"334","430192.0599902887","5539253.839246631"
"336","414053.11469246674","5552006.66616539"
"338","423050.239299668","5543048.449007953"
"340","425618.3401312351","5543829.521153112"
"342","421387.7077552523","5547841.140637175"
"344","414462.66393620346","5551854.579033013"
"346","424555.2074613551","5544096.621672697"
"348","417442.20325997344","5548599.385458785"
"350","432692.8856744366","5537317.59841134"
"352","422952.4449783958","5549306.1399129825"
"354","426121.30665110645","5544559.951947959"
"356","425519.65905517933","5546487.687560198"
"358","424544.8041780483","5549583.371676609"
"360","428064.67350703245","5549737.06971896"
"362","423140.0636809151","5540451.861422244"
"364","428898.05081070703","5540927.067844404"
"366","428208.63776846667","5546403.916050714"
"368","423038.75343580503","5548507.2105205525"
"370","426999.353475821","5548680.0982747795"
"372","423641.7644692629","5541880.944915317"
"374","432617.1918690604","5543238.302700032"
"376","422977.51102918136","5546284.252556333"
"378","426976.17980931496","5545923.675636512"
"380","424814.44750996237","5547892.5570996925"
"382","421641.94194421114","5547248.480814499"
"384","427012.38368773356","5546797.788222938"
"386","426175.2475317655","5553938.958057423"
"388","428466.71428494394","5548510.4891787665"
"390","423845.69699399755","5543672.328931035"
"392","417703.2884449118","5538731.532565682"
"394","425591.3331175344","5540589.709278824"
"396","430526.0092440002","5547118.786486996"
"398","426786.85996654443","5543669.890869531"
"400","426404.24321674183","5547902.741933641"
"402","423238.82288597035","5549079.855995848"
"404","422402.40222990286","5548315.730704715"
"406","421352.3729149614","5541905.827953721"
"408","439992.34466436284","5540462.254042053"
"410","427198.9199390037","5543643.973183503"
"412","422254.1855689566","5546753.260492341"
"414","422973.927840176","5539979.271480209"
"416","425855.8549127254","5543453.06137291"
"418","420161.527544457","5548358.625308132"
"420","438904.01122174726","5537081.327328417"
"422","428684.5346147095","5540426.244387184"
"424","419965.2689727275","5548765.533028502"
"426","420436.6870704126","5541171.636982509"
"428","421151.4966829738","5545706.175308044"
"430","419441.60912864865","5551780.244220116"
"432","429420.8395733019","5550012.220574848"
"434","424490.4794735994","5547095.746459"
"436","425699.2435356157","5546873.177877357"
"438","430470.3310251464","5549449.013076617"
"440","423726.40618900646","5548535.156167693"
"442","422273.13709300815","5545045.765869265"
"444","423027.8059010652","5546500.534688851"
"446","431481.8827004614","5547247.231085251"
"448","424670.49008174264","5547601.91796397"
"450","427870.143004753","5548818.545620459"
"452","433629.0883279189","5538389.06290698"
"454","426741.7436041436","5541224.945444617"
"456","419252.2713329829","5544368.987554623"
"458","422743.67576546","5547301.993584508"
"460","422195.3682691252","5537791.895770054"
"462","426709.82046710775","5542117.845500596"
"464","432150.3683187449","5543318.274141945"
"466","425000.8664193914","5544704.842946987"
"468","425228.8541763072","5548733.828272323"
"470","422857.05893115787","5544043.291168946"
"472","430675.46177998104","5547611.619820617"
"474","423168.7337021752","5546875.457510029"
"476","431800.3802300874","5547373.881145608"
"478","420420.0598460172","5549053.517319607"
"480","426279.96753888956","5540842.910901669"
"482","430530.30121839873","5548494.497624579"
"484","429281.06706331787","5540899.9629416615"
"486","427097.5766780237","5544572.657314502"
"488","425532.4286446658","5546738.946574059"
"490","430345.67989004793","5539031.553990009"
"492","424029.6057538133","5547362.731198195"
"494","429718.5996130989","5543289.4469033405"
"496","422069.91865152924","5544395.4837306235"
"498","427433.0706338619","5541316.948212749"
"500","424637.0418870151","5539790.229066635"
"502","426987.79464616755","5547511.391739838"
"504","422952.73663454736","5543748.833415052"
"506","426248.654459126","5546535.980428988"
"508","423534.7621076779","5547245.748135747"
"510","426927.9134789971","5541800.856087753"
"512","416198.5204748954","5536652.279801783"
"514","421856.3938656966","5536856.892249363"
"516","431726.56583197025","5538457.090028227"
"518","428446.82753027533","5549635.890552209"
"520","448993.544010725","5536826.047789086"
