"signalId","signalSystemId","x","y"
"243378823","40","425650.16408766876","5549357.395524164"
"2957026511","40","425648.54874877876","5549337.456769184"
"269849536","42","424145.38518885453","5542318.992956972"
"272504128","42","424148.5225632872","5542335.150952879"
"2000517933","44","415871.24258503446","5544187.462047606"
"251691164","46","425025.604352772","5546708.77599545"
"269325450","46","425030.2752656134","5546718.2518454"
"4502755201","48","422957.30398690904","5543746.212166886"
"245373846","48","422963.92689330655","5543756.036315432"
"4906798039","48","422942.63136161695","5543747.846832023"
"4906798037","48","422944.9797706859","5543741.830190471"
"4502755199","48","422954.8411602183","5543752.241570446"
"1349546604","50","417703.2884449118","5538731.532565682"
"5981311507","52","424473.75727410597","5541284.869888706"
"5981311510","52","424464.55471973267","5541331.427248407"
"5981311508","52","424444.1997017431","5541305.581461827"
"5981311509","52","424491.7327838207","5541312.194980047"
"322918724","54","424146.58344557066","5549342.969473974"
"236175465","54","424143.0170146824","5549325.082682241"
"3118489646","56","428476.97539824207","5545391.436586252"
"3118489649","56","428463.83252775006","5545417.800551531"
"3118489652","56","428506.6063035721","5545437.9012309555"
"3118489647","56","428513.9675062557","5545396.757975589"
"267031756","58","422954.99065044394","5549297.367968137"
"227461830","58","422949.89930634765","5549314.9118578285"
"3674176227","60","429856.2353808603","5548573.560959641"
"2272185960","60","429902.3393596891","5548476.220919645"
"213636357","60","429904.76748762326","5548496.04983117"
"2272185961","60","429937.97249790153","5548506.801339952"
"288038829","62","426713.59258231986","5542118.655692231"
"622594620","62","426706.04835189565","5542117.03530896"
"243358787","64","429397.3312767956","5549783.619966091"
"34802101","66","422770.06826025667","5539410.070560492"
"452255965","66","422760.6712928382","5539413.542114523"
"622594615","68","427731.1931783829","5541044.566919192"
"622594613","68","427719.6678997982","5541032.089865188"
"236306981","70","422254.18556895683","5546753.260492342"
"207440039","72","423231.70394243684","5545329.320028988"
"5726056947","72","423254.9981365816","5545347.034364311"
"1876808668","72","423226.4549818772","5545310.80186291"
"752177519","72","423250.0699121732","5545342.879278149"
"6140235080","72","423235.83409236255","5545303.305478176"
"2419720318","72","423220.5283791907","5545320.895390223"
"5726056948","72","423205.7366947944","5545295.486058472"
"2334799598","74","431821.37540676707","5547392.64264275"
"2334799596","74","431811.26382545073","5547344.443485731"
"2334799597","74","431779.92181697977","5547354.851502267"
"2334799599","74","431788.95987115207","5547403.586951685"
"263889096","76","421850.5851515135","5536859.100880489"
"263889098","76","421862.20257988","5536854.683618237"
"6736204390","78","427021.7273435469","5545957.501869218"
"1505690411","78","426951.44802990434","5545925.889869347"
"1505690378","78","426952.4123732425","5545884.331104836"
"1505690413","78","426979.1314905661","5545926.979702645"
"236341694","80","423998.7646472635","5544813.53052985"
"5195997693","80","424002.95713008376","5544794.632905046"
"236341692","80","424007.0516299935","5544775.892363086"
"2267842689","82","424767.6924511988","5540731.998996064"
"2267842682","82","424765.9575419819","5540669.6937788045"
"290114401","82","424762.8050112127","5540708.503606302"
"2267842683","82","424793.5680172603","5540704.424162888"
"1841370106","84","428082.0801609921","5549742.128607118"
"1841370086","84","428064.68535683246","5549722.146027388"
"1841370094","84","428047.5475111722","5549733.463845281"
"2271612217","84","428064.38099913334","5549750.5403960515"
"236219654","86","423857.68488998915","5549385.667588342"
"236219660","86","423855.5291362995","5549368.439212491"
"4238442017","88","419981.9323194467","5549347.321231285"
"2193258418","88","420093.30573929","5549252.529081325"
